AGE 16-64,,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,"76,600","119,700",64.0,3.8,"80,000","122,000",65.6,3.8,"73,400","118,400",62.0,4.1,"77,400","116,700",66.3,4.1,"76,500","117,500",65.1,4.1,"74,100","117,900",62.8,4.3,"73,300","115,400",63.5,4.0,"71,300","113,800",62.6,3.8,"71,900","110,100",65.3,3.6,"71,000","108,400",65.5,3.7,"74,700","108,000",69.2,3.5,"74,000","108,700",68.1,3.6,"72,700","109,300",66.5,4.1,"73,100","107,600",67.9,4.5,"61,400","103,800",59.2,4.8,"68,400","103,800",65.9,4.8
E09000021,Kingston upon Thames,"77,000","104,100",73.9,3.7,"76,600","105,700",72.5,3.7,"79,000","106,500",74.2,3.6,"77,200","106,300",72.7,3.9,"76,700","106,800",71.8,3.9,"79,400","107,200",74.1,3.8,"76,000","108,100",70.3,4.0,"74,200","109,400",67.9,4.0,"78,000","110,600",70.5,3.9,"82,800","111,900",73.9,3.8,"84,900","113,000",75.1,3.7,"85,200","114,800",74.2,3.9,"87,600","118,900",73.7,4.2,"90,700","119,100",76.1,3.9,"86,200","119,600",72.0,4.3,"92,600","118,300",78.2,4.1
E09000022,Lambeth,"131,400","196,000",67.0,4.2,"131,300","199,600",65.8,3.9,"129,800","202,400",64.1,4.0,"140,900","207,800",67.8,3.6,"143,300","209,900",68.3,3.6,"156,500","216,000",72.5,3.6,"159,500","219,400",72.7,3.9,"162,600","224,700",72.4,3.7,"161,700","228,700",70.7,4.1,"182,600","234,200",78.0,3.8,"190,300","237,900",80.0,3.6,"188,200","239,800",78.5,3.9,"198,100","245,800",80.6,4.1,"202,100","250,100",80.8,4.1,"186,800","244,500",76.4,4.0,"191,300","244,600",78.2,3.8
E09000023,Lewisham,"121,000","173,600",69.7,3.6,"124,400","175,800",70.8,3.6,"124,200","177,600",70.0,3.7,"120,900","181,200",66.7,3.8,"131,400","186,400",70.5,3.5,"131,200","188,900",69.4,4.0,"121,700","190,000",64.1,4.4,"131,900","194,900",67.7,4.0,"132,700","196,600",67.5,4.0,"141,100","197,800",71.3,3.7,"152,000","203,100",74.8,3.5,"157,900","208,100",75.9,3.8,"157,500","210,600",74.8,3.9,"175,400","210,800",83.2,3.4,"166,700","211,400",78.8,3.7,"172,200","215,700",79.9,3.6
E09000024,Merton,"97,400","128,400",75.8,3.6,"91,700","130,700",70.2,4.0,"96,800","132,000",73.4,3.5,"103,700","133,300",77.8,3.4,"103,500","133,500",77.5,3.9,"99,200","135,600",73.2,3.7,"97,700","135,800",71.9,3.4,"97,200","136,300",71.3,3.6,"99,700","136,600",73.0,3.5,"105,300","138,300",76.1,3.7,"102,500","137,200",74.7,3.9,"107,700","136,700",78.8,3.6,"108,100","139,100",77.7,3.9,"111,200","139,600",79.7,4.1,"113,600","138,700",81.9,3.7,"111,700","139,000",80.3,3.6
E09000025,Newham,"94,100","170,800",55.1,3.9,"95,700","171,500",55.8,3.8,"99,900","175,600",56.9,3.7,"104,100","181,700",57.3,3.9,"112,400","188,500",59.7,3.8,"108,900","196,200",55.5,3.8,"115,300","210,300",54.8,3.7,"119,000","218,700",54.4,3.6,"132,600","220,700",60.1,3.7,"138,000","222,600",62.0,3.6,"137,100","226,500",60.6,3.8,"154,000","232,900",66.2,3.6,"169,700","239,000",71.0,3.7,"166,100","241,900",68.7,4.2,"169,100","246,000",68.7,4.6,"179,000","251,600",71.1,4.6
E09000026,Redbridge,"119,500","161,200",74.1,3.6,"106,400","164,200",64.8,4.0,"112,200","166,200",67.5,4.1,"112,300","170,000",66.1,4.1,"114,800","174,800",65.7,3.8,"118,900","177,600",66.9,3.9,"116,500","180,800",64.4,3.6,"115,000","182,500",63.0,3.7,"121,500","185,000",65.7,3.7,"127,000","189,200",67.1,3.7,"132,300","190,300",69.5,3.7,"131,700","192,400",68.5,3.7,"142,200","196,400",72.4,3.6,"140,700","200,300",70.2,3.6,"138,900","201,200",69.0,3.7,"141,900","202,100",70.2,4.1
E09000027,Richmond upon Thames,"85,900","121,000",71.0,3.9,"93,000","122,100",76.2,3.4,"94,100","124,400",75.7,3.4,"95,400","123,600",77.1,3.4,"94,100","124,100",75.8,3.6,"90,700","122,500",74.1,3.9,"91,600","122,600",74.7,3.7,"93,400","125,300",74.5,3.9,"95,300","126,100",75.6,3.8,"96,400","125,000",77.1,3.5,"97,300","124,500",78.2,3.5,"98,200","123,500",79.5,3.6,"102,500","129,000",79.5,3.9,"97,300","131,200",74.2,4.1,"96,300","123,700",77.8,4.1,"101,600","125,100",81.3,4.0
E09000028,Southwark,"117,500","179,800",65.4,4.0,"118,200","186,000",63.5,4.0,"123,000","190,800",64.5,3.9,"127,200","196,000",64.9,3.9,"133,600","199,900",66.8,3.6,"133,000","202,300",65.7,4.1,"142,000","206,800",68.7,4.1,"133,900","211,600",63.3,3.9,"147,200","213,800",68.8,3.7,"141,700","218,100",65.0,3.7,"158,200","219,800",72.0,3.3,"167,000","224,600",74.3,3.4,"172,700","228,900",75.5,3.7,"185,200","234,400",79.0,3.5,"179,800","232,500",77.3,3.6,"182,700","234,100",78.1,3.8
E09000029,Sutton,"88,300","119,200",74.0,3.6,"95,000","119,800",79.3,3.5,"92,200","118,700",77.7,3.9,"89,600","119,000",75.2,4.0,"93,400","122,100",76.5,3.9,"94,900","123,000",77.2,3.8,"93,400","123,700",75.5,3.5,"91,100","124,400",73.3,3.9,"93,800","125,500",74.8,3.9,"97,900","125,700",77.9,4.1,"100,100","128,100",78.1,4.2,"101,100","129,500",78.1,4.1,"103,200","129,800",79.5,3.8,"104,300","131,600",79.3,3.8,"103,500","129,300",80.1,3.7,"103,500","131,800",78.5,3.6
